PLANT CODE,CATEGORY MAIN,SKU CODE,WAREHOUSE_CUSTOMER,ROUTE,SUPPLIED_CASES,MAX_PRODUCTION_CAPACITY,PRODUCTION COST (INR/CASE),TOTAL_PRODUCTION_COST,TOTAL_FREIGHT_COST,TOTAL_COST
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,KwVGeYyfHNmTjKSI,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,68.174164,133056.0,75.0,5113.0623000000005,17504.706419863774,22617.768719863776
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,BumByXhtwbQeJeJE,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,63.62922,133056.0,75.0,4772.1915,17504.706419863774,22276.897919863775
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,JxdoDtWTmyPelves,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,45.449443,133056.0,75.0,3408.7082250000003,17504.706419863774,20913.414644863777
UbSpHthdgRKwZLMO,MOkIUpkDyrOSJoRu,PnawBgZOogehQPSp,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,33.160611,26775.0,144.0,4775.127984000001,17504.706419863774,22279.834403863773
UbSpHthdgRKwZLMO,MOkIUpkDyrOSJoRu,FinSAETSNdGlVhnV,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,16.580306,26775.0,144.0,2387.564064,17504.706419863774,19892.270483863773
UbSpHthdgRKwZLMO,MOkIUpkDyrOSJoRu,xUOlVjehegHLbKJn,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,13.264245,26775.0,144.0,1910.0512800000001,17504.706419863774,19414.757699863774
UbSpHthdgRKwZLMO,MOkIUpkDyrOSJoRu,ZPMfOPMJZBbkbWGj,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,24.870458,26775.0,144.0,3581.3459519999997,17504.706419863774,21086.052371863774
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,fZsPpOuhTPNPtSTh,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,227.24721,133056.0,75.0,17043.54075,17504.706419863774,34548.247169863775
UbSpHthdgRKwZLMO,gfygwwMqZcUDIhyf,amqqdvIZwBwUNxfL,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,68.951676,19404.0,144.0,9929.041344000001,17504.706419863774,27433.747763863776
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,fMImIRydzKzSltNJ,vxlFBnASWxxzrClK,QkwvjXHVEulRHFGE,42.058795,21781.25,144.0,6056.466480000001,15966.501814299187,22022.968294299186
